City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Kumul,42.8,93.45,79.11,30,0,10.8,CN,1595953854
Thompson,55.74,-97.86,60.8,87,90,5.82,CA,1595953746
Kalmar,56.66,16.36,69.8,77,77,5.82,SE,1595953858
Victoria Point,-27.58,153.3,55.0,62,0,4.0,AU,1595953858
Marawi,8.0,124.29,73.99,92,100,7.0,PH,1595953858
Lāsalgaon,20.15,74.23,75.97,87,100,11.34,IN,1595953858
Maïné Soroa,13.21,12.02,94.28,37,26,6.46,NE,1595953858
Nome,64.5,-165.41,50.0,93,90,17.22,US,1595953858
Te Anau,-45.42,167.72,41.04,91,100,1.43,NZ,1595953858
Kapaa,22.08,-159.32,75.2,94,90,13.87,US,1595953858
Comodoro Rivadavia,-45.87,-67.5,48.2,49,0,16.11,AR,1595953859
Mokhsogollokh,61.47,128.92,56.46,71,99,2.28,RU,1595953859
Saint Anthony,45.02,-93.22,81.0,57,20,3.36,US,1595953859
Ancud,-41.87,-73.82,51.01,81,75,3.36,CL,1595953859
Cape Town,-33.93,18.42,57.99,62,20,16.11,ZA,1595953859
Don Sak,9.32,99.69,82.0,83,40,7.16,TH,1595953859
Hambantota,6.12,81.12,80.6,94,40,3.36,LK,1595953859
Monte Patria,-30.69,-70.95,75.2,17,0,4.14,CL,1595953859
Sinnamary,5.38,-52.95,87.42,64,27,9.17,GF,1595953859
Busselton,-33.65,115.33,51.01,89,94,6.44,AU,1595953822
Bandundu Province,-3.32,17.37,90.39,31,44,3.06,CD,1595953859
Storforshei,66.4,14.52,73.4,40,40,13.87,NO,1595953860
Castro,-24.79,-50.01,75.38,47,2,12.08,BR,1595953860
Barrow,71.29,-156.79,37.4,86,90,20.8,US,1595953860
Hermanus,-34.42,19.23,55.99,88,84,4.23,ZA,1595953860
Chokurdakh,70.63,147.92,41.16,92,100,9.24,RU,1595953860
Margate,51.38,1.39,69.01,44,69,5.01,GB,1595953860
São João da Barra,-21.64,-41.05,84.2,42,0,6.93,BR,1595953860
Bluff,-46.6,168.33,43.0,85,100,12.55,NZ,1595953860
Yankton,42.87,-97.4,82.4,69,1,13.87,US,1595953860
Dingle,11.0,122.67,75.42,90,100,1.16,PH,1595953860
New Norfolk,-42.78,147.06,41.0,91,79,2.66,AU,1595953861
Hobart,-42.88,147.33,42.8,87,69,3.36,AU,1595953627
Ostrovnoy,68.05,39.51,59.23,79,64,12.01,RU,1595953861
Saldanha,-33.01,17.94,57.2,67,0,12.75,ZA,1595953861
Menzel Salem,35.86,8.48,98.6,9,20,4.7,TN,1595953861
Saint-Philippe,-21.36,55.77,71.6,78,76,16.11,RE,1595953861
Havre-St-Pierre,50.23,-63.6,66.2,72,90,13.87,CA,1595953861
Khatanga,71.97,102.5,47.88,77,0,1.32,RU,1595953861
Nogliki,51.83,143.17,55.24,93,20,11.16,RU,1595953861
Shelburne,44.08,-80.2,80.01,50,75,6.93,CA,1595953829
Iquique,-20.22,-70.14,60.8,63,40,8.05,CL,1595953862
Chara,56.91,118.26,65.14,73,59,2.64,RU,1595953862
Kenai,60.55,-151.26,54.0,81,1,3.36,US,1595953862
Imbituba,-28.24,-48.67,64.4,82,75,17.22,BR,1595953862
Lebu,-37.62,-73.65,48.94,69,0,13.73,CL,1595953862
Geraldton,-28.77,114.6,50.0,87,1,6.93,AU,1595953862
St. George's,12.06,-61.75,86.0,79,75,11.41,GD,1595953862
Hithadhoo,-0.6,73.08,82.94,75,96,10.6,MV,1595953862
Suntar,62.14,117.63,53.1,89,100,5.64,RU,1595953863
Rikitea,-23.12,-134.97,72.23,77,74,17.27,PF,1595953863
Hilo,19.73,-155.09,73.4,73,75,4.14,US,1595953863
Banda Aceh,5.56,95.32,77.99,80,100,17.49,ID,1595953863
Beloha,-25.17,45.05,63.59,81,55,14.52,MG,1595953863
Arraial do Cabo,-22.97,-42.03,84.2,54,0,12.75,BR,1595953836
Abnūb,27.27,31.15,93.2,32,0,11.41,EG,1595953863
Vila,42.03,-8.16,88.0,49,0,3.0,PT,1595953863
Pevek,69.7,170.31,34.56,88,53,9.01,RU,1595953864
Srednekolymsk,67.45,153.68,45.54,68,67,4.65,RU,1595953864
Pindiga,9.98,10.93,81.05,74,50,6.08,NG,1595953864
Contamana,-7.33,-75.02,95.29,40,2,1.77,PE,1595953864
Kamenka,51.32,42.77,84.99,41,0,1.99,RU,1595953864
Tasiilaq,65.61,-37.64,44.6,81,40,16.11,GL,1595953864
Fortuna,40.6,-124.16,55.99,100,90,5.48,US,1595953864
Kaitangata,-46.28,169.85,46.99,77,100,3.0,NZ,1595953864
Punta Arenas,-53.15,-70.92,41.0,60,8,21.92,CL,1595953800
Kahului,20.89,-156.47,78.8,61,40,19.46,US,1595953865
Ushuaia,-54.8,-68.3,35.6,88,75,33.33,AR,1595953609
Nizhniy Baskunchak,48.22,46.83,82.8,23,81,9.08,RU,1595953865
Hofn,64.25,-15.21,55.4,71,75,10.29,IS,1595953865
Bambous Virieux,-20.34,57.76,71.01,83,75,12.75,MU,1595953865
Lata,40.16,-8.33,81.0,73,20,14.99,PT,1595953865
Port Alfred,-33.59,26.89,61.84,67,0,8.19,ZA,1595953865
Nikolskoye,59.7,30.79,66.2,93,90,8.95,RU,1595953865
Villanueva de la Serena,38.98,-5.8,97.0,27,0,5.01,ES,1595953865
Esperance,-33.87,121.9,51.8,93,40,8.05,AU,1595953866
Itoman,26.12,127.67,82.4,88,20,4.7,JP,1595953866
Narsaq,60.92,-46.05,53.6,76,75,10.29,GL,1595953866
Merauke,-8.47,140.33,76.84,86,100,16.28,ID,1595953866
Port Lincoln,-34.73,135.87,51.78,86,0,8.68,AU,1595953866
Pangnirtung,66.15,-65.71,50.0,93,90,14.99,CA,1595953866
Prymors'k,46.73,36.34,74.66,77,5,7.23,UA,1595953866
Mayumba,-3.43,10.66,74.41,76,10,9.84,GA,1595953867
Kabompo,-13.59,24.2,65.16,35,0,5.12,ZM,1595953867
Qaanaaq,77.48,-69.36,44.28,60,0,2.15,GL,1595953868
Mar del Plata,-38.0,-57.56,50.0,66,40,13.87,AR,1595953686
Coquimbo,-29.95,-71.34,59.0,72,0,11.41,CL,1595953868
Upernavik,72.79,-56.15,43.61,82,100,6.26,GL,1595953868
Bengkulu,-3.8,102.27,75.92,88,83,6.2,ID,1595953868
Isiolo,0.35,37.58,73.45,49,36,21.43,KE,1595953868
